;start_date;end_date;counts;keywords;date
106;2022-05-28 08:00:00+00:00;2022-05-28 09:00:00+00:00;120;electric cars;2022-05-28
107;2022-05-28 09:00:00+00:00;2022-05-28 10:00:00+00:00;105;electric cars;2022-05-28
108;2022-05-28 10:00:00+00:00;2022-05-28 11:00:00+00:00;142;electric cars;2022-05-28
109;2022-05-28 11:00:00+00:00;2022-05-28 12:00:00+00:00;136;electric cars;2022-05-28
110;2022-05-28 12:00:00+00:00;2022-05-28 13:00:00+00:00;192;electric cars;2022-05-28
111;2022-05-28 13:00:00+00:00;2022-05-28 14:00:00+00:00;161;electric cars;2022-05-28
112;2022-05-28 14:00:00+00:00;2022-05-28 15:00:00+00:00;200;electric cars;2022-05-28
113;2022-05-28 15:00:00+00:00;2022-05-28 16:00:00+00:00;188;electric cars;2022-05-28
114;2022-05-28 16:00:00+00:00;2022-05-28 17:00:00+00:00;213;electric cars;2022-05-28
115;2022-05-28 17:00:00+00:00;2022-05-28 18:00:00+00:00;188;electric cars;2022-05-28
116;2022-05-28 18:00:00+00:00;2022-05-28 19:00:00+00:00;159;electric cars;2022-05-28
117;2022-05-28 19:00:00+00:00;2022-05-28 20:00:00+00:00;114;electric cars;2022-05-28
118;2022-05-28 20:00:00+00:00;2022-05-28 21:00:00+00:00;146;electric cars;2022-05-28
119;2022-05-28 21:00:00+00:00;2022-05-28 22:00:00+00:00;151;electric cars;2022-05-28
120;2022-05-28 22:00:00+00:00;2022-05-28 23:00:00+00:00;116;electric cars;2022-05-28
121;2022-05-28 23:00:00+00:00;2022-05-29 00:00:00+00:00;121;electric cars;2022-05-28
122;2022-05-29 00:00:00+00:00;2022-05-29 01:00:00+00:00;118;electric cars;2022-05-29
123;2022-05-29 01:00:00+00:00;2022-05-29 02:00:00+00:00;108;electric cars;2022-05-29
124;2022-05-29 02:00:00+00:00;2022-05-29 03:00:00+00:00;101;electric cars;2022-05-29
