,CountryCode,CountryName,Year,elec_energy_prod_hydroelectric_percent,elec_energy_prod_naturalgas_percent,elec_energy_prod_nuclear_percent,elec_energy_prod_oil_gas_coal_percent,elec_energy_prod_renewable_percent,elect_access_percent_population,elect_consumption_Kwh_per_capita,female_population_percent,gdp_growth_annual_percent,population_0_14_percent,population_15_64_percent,population_65_plus_percent,population_density,population_largest_city,rural_population_percent,surface_area,total_population 
4806,SOM,Somalia,1996,,,,,,,,50.4449544568584,,46.170709939749,50.7823927832112,3.0468972770398097,10.3307425000797,1157279.0,68.215,637660.0,6480888.0
4807,SOM,Somalia,1997,,,,,,,,50.4332451492114,,46.4590400913802,50.5183371071222,3.0226228014976098,10.6366260719865,1168010.0,67.853,637660.0,6672781.0
4808,SOM,Somalia,1998,,,,,,,,50.420734763944,,46.7483344633168,50.2604272655419,2.99123827114127,11.0055647655179,1178855.0,67.489,637660.0,6904231.0
4809,SOM,Somalia,1999,,,,,,,,50.4082588481964,,46.9997087462576,50.03995296294029,2.96033829080217,11.394787515541802,1189802.0,67.122,637660.0,7148406.0
4810,SOM,Somalia,2000,,,,,,25.9093,,50.3962132938754,,47.1715878970122,49.893574038348,2.93483806463983,11.7725890266841,1200865.0,66.753,637660.0,7385416.0
4811,SOM,Somalia,2001,,,,,,,,50.3846031032898,,47.472468325779104,49.5943063734247,2.93322530079619,12.1306675805783,1212000.0,66.383,637660.0,7610053.0
4812,SOM,Somalia,2002,,,,,,,,50.3732303863845,,47.6260038228215,49.4382859368794,2.93571024029912,12.476811617304802,1259866.0,66.01,637660.0,7827203.0
4813,SOM,Somalia,2003,,,,,,,,50.36201795623,,47.6793558088066,49.383849244891,2.9367949463024803,12.8145885803552,1309622.0,65.629,637660.0,8039104.0
4814,SOM,Somalia,2004,,,,,,,,50.3508400260136,,47.69922727447911,49.37238321310221,2.92838951241866,13.1524436509708,1361416.0,65.24,637660.0,8251054.0
4815,SOM,Somalia,2005,,,,,,,,50.3396623431044,,47.7161046886135,49.376256209741896,2.90763910164454,13.4965696432557,1415108.0,64.844,637660.0,8466938.0
4816,SOM,Somalia,2006,,,,,,,,50.3284643762319,,47.7597690049395,49.333936844727496,2.90629415033305,13.8472582650556,1470995.0,64.439,637660.0,8686939.0
4817,SOM,Somalia,2007,,,,,,,,50.317302193340105,,47.82892384848381,49.280745402269496,2.8903307492466896,14.201254503140198,1100260.0,64.026,637660.0,8909015.0
4818,SOM,Somalia,2008,,,,,,,,50.3062932099539,,47.8783836653549,49.2554630455832,2.86615328906185,14.5576386010776,1199648.0,63.606,637660.0,9132589.0
4819,SOM,Somalia,2009,,,,,,,,50.2955649388409,,47.841121781988704,49.3167395314672,2.84213868654406,14.915081136226,1307703.0,63.177,637660.0,9356827.0
4820,SOM,Somalia,2010,,,,,,29.1,,50.28519949562261,,47.6935233090865,49.4843928758466,2.8220838150669,15.2735581981063,1425660.0,62.741,637660.0,9581714.0
4821,SOM,Somalia,2011,,,,,,,,50.2752514360124,,47.6394127670249,49.5362748007224,2.82431243225274,15.6321452481908,1554257.0,62.298,637660.0,9806670.0
4822,SOM,Somalia,2012,,,,,,32.70795,,50.2656565968648,,47.4422915734385,49.7291010332253,2.82860739333621,15.9939267382918,1694454.0,61.847,637660.0,10033630.0
4823,SOM,Somalia,2013,,,,,,,,50.25626312492111,,47.1662441468318,50.001455957481,2.8322998956872203,16.3677702681162,1847296.0,61.388,637660.0,10268157.0
4824,SRB,Serbia,1990,23.129334766044696,3.21139005568038,0.0,76.8706652339553,0.0,100.0,4628.65805431057,50.6386647152086,,23.7727300904528,66.64131032069821,9.585959588848947,86.73679396295451,1129699.0,49.607,88360.0,7586000.0
4825,SRB,Serbia,1991,28.866109845608698,3.32827132371551,0.0,71.1338901543913,0.0,,4411.4804869533,50.6524570263654,,23.5272820533005,66.5278648543086,9.94485309239088,86.84697004344841,1132835.0,49.232,88360.0,7595636.0
4826,SRB,Serbia,1992,31.0869326901995,1.62245121683841,0.0,68.9130673098005,0.0,,4274.54716086892,50.665776353973705,,23.196689092130494,66.48237578684771,10.3209351210219,87.4276697919049,1131599.0,48.963,88360.0,7646424.0
4827,SRB,Serbia,1993,32.4074074074074,1.13888888888889,0.0,67.5925925925926,0.0,,3479.53393727513,50.680446033094206,,22.8151353390411,66.4814319240632,10.7034327368956,88.03232334781609,1130369.0,48.694,88360.0,7699307.0
4828,SRB,Serbia,1994,32.4074074074074,0.9506172839506172,0.0,67.5925925925926,0.0,,3411.1482126056603,50.6990980436407,,22.431327297311203,66.4893918467979,11.079280855890902,88.43630230962731,1129138.0,48.425,88360.0,7734639.0
4829,SRB,Serbia,1995,35.366631859844496,1.0268012530456,0.0,64.6333681401555,0.0,,3789.98648850146,50.723603232894405,,22.0655077332933,66.4936859491958,11.4408063175109,87.1867939629545,1127908.0,48.156,88360.0,7625357.0
4830,SRB,Serbia,1996,40.892193308550205,1.44726013791538,0.0,59.1078066914498,0.0,,4132.5612112903,50.7546114183597,2.42615502108619,21.6226662760844,66.42668391399961,11.950649809916,87.1003201463526,1126678.0,47.886,88360.0,7617794.0
